Year,Time,Forest type,Site #,Site name,Plant Species,Plot #,Cage,Treatment,Height (cm),Leaf1.L,Leaf 2.L,Leaf 3.L,Leaf 4.L,Leaf 5.L,Leaf 6.L,Leaf7.L,Leaf8.L,Leaf9.L,Leaf10.L,Leaf1.Area,Leaf2.Area,Leaf3.Area,Leaf4.Area,Leaf5.Area,Leaf6.Area,Leaf7.Area,Leaf8.Area,Leaf9.Area,Leaf10.Area,Total.LA,leaf.dw.g
2007,1,C,2,Aviation 2,C,159,CO,FE,5.8,15.7,16,13,13,,,,,,,56.38833231,58.01346269,42.4780575,42.4780575,0,0,0,0,0,0,199.4,93.7
2007,1,C,2,Aviation 2,C,160,CA,CA,5.2,18.8,14,14,,,,,,,,73.90309553,47.47632309,47.47632309,0,0,0,0,0,0,0,168.9,87
2007,1,C,2,Aviation 2,C,161,CA,CF,4.5,6,,,,,,,,,,13.30782632,0,0,0,0,0,0,0,0,0,13.3,52.8
2007,1,C,2,Aviation 2,C,162,CO,PC,7,NL,,,,,,,,,,7,,,,,,,,,,7,51.4
2007,1,C,2,Aviation 2,C,163,CO,CO,13.2,NL,,,,,,,,,,13.2,,,,,,,,,,13.2,52.8
2007,1,C,2,Aviation 2,C,164,CO,FE,NC,13.5,13.5,13.5,14,,,,,,,44.95399596,44.95399596,44.95399596,47.47632309,0,0,0,0,0,0,182.3,90
2007,1,C,2,Aviation 2,C,165,CA,CA,8.8,11.2,11,,,,,,,,,33.96295394,33.05665018,0,0,0,0,0,0,0,0,67,64.6
2007,1,C,3,Para 3,C,166,CA,CF,3,17,16.5,14,14,,,,,,,63.54057757,60.75603602,47.47632309,47.47632309,0,0,0,0,0,0,219.2,98.1
2007,1,C,3,Para 3,C,167,CO,PC,6,15.3,16,10,,,,,,,,54.24560898,58.01346269,28.64997731,0,0,0,0,0,0,0,140.9,80.9
2007,1,C,3,Para 3,C,168,CO,CO,2.8,4.3,5.5,,,,,,,,,8.070933722,11.67838304,0,0,0,0,0,0,0,0,19.7,54.2
2007,1,C,3,Para 3,C,169,CO,FE,3.8,7.7,8.2,8.2,,,,,,,,19.3524302,21.26915597,21.26915597,0,0,0,0,0,0,0,61.9,63.5
2007,1,C,3,Para 3,C,170,CA,CA,4.5,9.7,9.6,,,,,,,,,27.36952956,26.94707494,0,0,0,0,0,0,0,0,54.3,61.8
2007,1,C,3,Para 3,C,171,CA,CF,NC,6.8,5.1,5.1,,,,,,,,16.05844214,10.42696399,10.42696399,0,0,0,0,0,0,0,36.9,58
2007,1,C,3,Para 3,C,172,CO,PC,2.5,7.8,8,9,9.2,,,,,,,19.73092703,20.49522365,24.45894459,25.27936671,0,0,0,0,0,0,90,69.7
2007,1,C,3,Para 3,C,173,CO,CO,NC,6.2,7,5.7,,,,,,,,13.97923634,16.77262164,12.32162616,0,0,0,0,0,0,0,43.1,59.4
2007,1,C,3,Para 3,C,174,CO,FE,1.4,11.4,11.6,,,,,,,,,34.87740421,35.79992938,0,0,0,0,0,0,0,0,70.7,65.4
2007,1,C,3,Para 3,C,175,CA,CA,2.5,8.2,7,6.9,,,,,,,,21.26915597,16.77262164,16.41423521,0,0,0,0,0,0,0,54.5,61.9
2007,1,C,3,Para 3,C,176,CA,CF,5.6,9.5,9.5,,,,,,,,,26.52681974,26.52681974,0,0,0,0,0,0,0,0,53.1,61.6
2007,1,C,3,Para 3,C,177,CO,PC,5.3,11.3,7.3,,,,,,,,,34.41916528,17.86315751,0,0,0,0,0,0,0,0,52.3,61.4
2007,1,C,3,Para 3,C,178,CO,CO,2.3,7.4,7.3,,,,,,,,,18.23173572,17.86315751,0,0,0,0,0,0,0,0,36.1,57.8
2007,1,C,3,Para 3,C,179,CO,FE,5.5,20.5,20,19.5,19.5,,,,,,,84.15850327,81.09618212,78.07198785,78.07198785,0,0,0,0,0,0,321.4,120.6
2007,1,C,3,Para 3,C,180,CA,CA,NC,7.5,8.5,,,,,,,,,18.60281832,22.44786447,0,0,0,0,0,0,0,0,41.1,58.9
2007,1,C,3,Para 3,C,181,CA,CF,0.9,NL,,,,,,,,,,0.9,,,,,,,,,,0.9,50.1
2007,1,C,3,Para 3,C,501,CO,PC,2.2,NL,,,,,,,,,,2.2,,,,,,,,,,2.2,50.4
2007,1,C,3,Para 3,C,502,CO,CO,5.1,8.6,,,,,,,,,,22.84546002,0,0,0,0,0,0,0,0,0,22.8,54.9
2007,1,C,3,Para 3,C,503,CO,FE,1.7,NL,,,,,,,,,,1.7,,,,,,,,,,1.7,50.3
2007,1,C,3,Para 3,C,504,CA,CA,2,NL,,,,,,,,,,2,,,,,,,,,,2,50.3
2007,1,C,4,Kaula 4,C,505,CO,FE,5.5,11.5,12,13.2,,,,,,,,35.33766184,37.66892711,43.46281091,0,0,0,0,0,0,0,116.5,75.5
2007,1,C,5,Kaula 3,C,506,CA,CA,8,15.8,15.9,,,,,,,,,56.9283289,57.47004082,0,0,0,0,0,0,0,0,114.4,75.1
