Type,Site,Year,Eradication,Mature.Intact,Immature.Intact,Immature.Rotten,Mature.Rotten,Immature.Predated,Mature.Predated
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,1,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,0,0,1,0,0,0
Cocos,Paradise 1,2016,post,0,0,0,1,0,0
Cocos,Paradise 1,2016,post,0,0,0,0,0,0
Cocos,Paradise 1,2016,post,3,0,0,1,0,0
Cocos,Paradise 1,2016,post,2,0,0,0,0,0
Cocos,Paradise 1,2016,post,1,0,0,1,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,1,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,1
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,4,0,0,4,0,3
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,1,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Eastern,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,1,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,1,0,0
Mixed,Sand,2016,post,0,0,0,1,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,1,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,1,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,2,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,2,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,0,0,0
Mixed,Sand,2016,post,0,0,0,4,0,0
Mixed,Sand,2016,post,0,0,0,8,0,0
Mixed,Sand,2016,post,0,1,0,2,0,0
Mixed,Sand,2016,post,0,0,0,1,0,0
Mixed,Sand,2016,post,0,0,0,1,0,0
